Date,Open,High,Low,Close,Adj Close,Volume
2018-06-03,null,null,null,null,null,null
2018-06-04,0.267000,0.267700,0.264800,0.267000,0.267000,3241
2018-06-05,0.262700,0.267000,0.261000,0.262700,0.262700,1711
2018-06-06,0.260950,0.262500,0.258200,0.260950,0.260950,3948
2018-06-07,0.255650,0.260000,0.251450,0.255650,0.255650,2564
2018-06-08,0.268750,0.269800,0.256500,0.268750,0.268750,7013
2018-06-10,null,null,null,null,null,null
2018-06-11,0.267600,0.272450,0.267500,0.267600,0.267600,7437
2018-06-12,0.268400,0.271700,0.267550,0.268400,0.268400,4066
2018-06-13,0.268750,0.270800,0.267100,0.268750,0.268750,3889
2018-06-14,0.263450,0.270700,0.261750,0.263450,0.263450,4483
2018-06-15,0.268100,0.268650,0.262500,0.268100,0.268100,8890
2018-06-17,null,null,null,null,null,null
2018-06-18,0.265950,0.267700,0.265300,0.265950,0.265950,5213
2018-06-19,0.267050,0.268650,0.264150,0.267050,0.267050,2424
2018-06-20,0.264800,0.269500,0.263900,0.264800,0.264800,2366
2018-06-21,0.265650,0.266450,0.262750,0.265650,0.265650,2402
2018-06-22,0.265200,0.267350,0.263800,0.265200,0.265200,5772
2018-06-24,null,null,null,null,null,null
2018-06-25,0.264850,0.265800,0.263950,0.264850,0.264850,5022
2018-06-26,0.263900,0.265650,0.262950,0.263900,0.263900,6045
2018-06-27,0.258350,0.263800,0.257900,0.258350,0.258350,35631
2018-06-28,0.259700,0.260650,0.258000,0.259700,0.259700,13894
2018-06-29,0.259350,0.262000,0.258550,0.259350,0.259350,2273
2018-07-01,null,null,null,null,null,null
2018-07-02,0.255000,0.258550,0.254400,0.255000,0.255000,2468
2018-07-03,null,null,null,null,null,null
2018-07-05,0.253200,0.256700,0.253050,0.253200,0.253200,3294
2018-07-06,0.258050,0.258250,0.252400,0.258050,0.258050,3490
2018-07-08,null,null,null,null,null,null
2018-07-09,0.258250,0.258800,0.256500,0.258250,0.258250,4174
2018-07-10,0.262100,0.262850,0.256750,0.262100,0.262100,594
2018-07-11,0.257400,0.262000,0.256850,0.257400,0.257400,2948
2018-07-12,0.256100,0.260050,0.255750,0.256100,0.256100,2435
2018-07-13,0.258200,0.259500,0.255850,0.258200,0.258200,2744
2018-07-15,null,null,null,null,null,null
2018-07-16,0.258350,0.260000,0.257700,0.258350,0.258350,2530
2018-07-17,0.259850,0.259950,0.257350,0.259850,0.259850,1541
2018-07-18,0.260400,0.261250,0.258400,0.260400,0.260400,1841
2018-07-19,0.258600,0.261100,0.256550,0.258600,0.258600,1593
2018-07-20,0.264850,0.265650,0.260600,0.264850,0.264850,1882
2018-07-22,null,null,null,null,null,null
2018-07-23,0.263750,0.265300,0.262750,0.263750,0.263750,1719
2018-07-24,0.267150,0.267700,0.263650,0.267150,0.267150,1076
