btcopening,btcclosing,btcquantity,btcamount,daxopening,daxclosing,daxlowest,daxhighest,djiopening,djiclosing,djilowest,djihighest,hsiopening,hsiclosing,hsilowest,hsihighest,year,month,day,target
1596.99982,1581.0003,110.35315131,361.0,19.60694197761033,19.707813262939453,19.60694197761033,19.707813262939453,15914.7001953125,15914.7001953125,15914.7001953125,15914.7001953125,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2016,2,10,1
1594.97,1603.85,139.77405797,445.0,19.372779054911412,19.330448150634766,19.273708041542253,19.38628811388518,15660.2001953125,15660.2001953125,15660.2001953125,15660.2001953125,0.06400000303983688,0.06499999761581421,0.06400000303983688,0.09399999678134918,2016,2,11,0
1603.82,1608.98958,121.28778696,418.0,19.529492012493954,19.561914443969727,19.529492012493954,19.561914443969727,15973.7998046875,15973.7998046875,15973.7998046875,15973.7998046875,18319.599609375,18319.599609375,18319.599609375,18319.599609375,2016,2,12,0
1725.0,1744.0,108.74494259,493.0,19.561914443969727,19.561914443969727,19.561914443969727,19.561914443969727,16196.400390625,16196.400390625,16196.400390625,16196.400390625,19122.099609375,19122.099609375,19122.099609375,19122.099609375,2016,2,16,0
1744.0,1763.0,175.51357573,469.0,20.14732773649933,20.246397018432617,20.14732773649933,20.269814549796987,16453.80078125,16453.80078125,16453.80078125,16453.80078125,18924.599609375,18924.599609375,18924.599609375,18924.599609375,2016,2,17,0
1783.89999,1799.49995,122.66371708,379.0,20.507589089672443,20.390504837036133,20.318453649966017,20.507589089672443,16413.400390625,16413.400390625,16413.400390625,16413.400390625,0.09300000220537186,0.09300000220537186,0.09300000220537186,0.09300000220537186,2016,2,18,0
1775.42653,1795.99991,60.8659997,351.0,20.273419385891096,20.200468063354492,20.102297197027184,20.273419385891096,16392.0,16392.0,16392.0,16392.0,19285.5,19285.5,19285.5,19285.5,2016,2,19,0
1811.99999,1819.99999,115.50307315,459.0,20.381494077946783,20.41752052307129,20.381494077946783,20.45894956069611,16620.69921875,16620.69921875,16620.69921875,16620.69921875,19464.099609375,19464.099609375,19464.099609375,19464.099609375,2016,2,22,0
1819.99999,1741.1,142.93021436,476.0,20.228384318136726,20.219379425048828,20.219379425048828,20.228384318136726,16431.80078125,16431.80078125,16431.80078125,16431.80078125,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,2016,2,23,1
1750.0,1769.9999,101.40162072,404.0,19.68800328374693,19.83210563659668,19.557409989653237,19.83210563659668,16485.0,16485.0,16485.0,16485.0,19192.400390625,19192.400390625,19192.400390625,19192.400390625,2016,2,24,0
1769.89994,1766.68132,59.57366958,294.0,19.83210563659668,19.83210563659668,19.83210563659668,19.83210563659668,16697.30078125,16697.30078125,16697.30078125,16697.30078125,18888.80078125,18888.80078125,18888.80078125,18888.80078125,2016,2,25,1
1766.68132,1785.45367,81.83301471,319.0,20.22838753755725,20.129318237304688,20.129318237304688,20.22838753755725,16640.0,16640.0,16640.0,16640.0,0.09300000220537186,0.09300000220537186,0.09300000220537186,0.09300000220537186,2016,2,26,0
1799.99999,1840.0,120.64286776,418.0,20.183355099115406,19.940181732177734,19.88614377880344,20.183355099115406,16516.5,16516.5,16516.5,16516.5,0.1550000011920929,0.15000000596046448,0.15000000596046448,0.1599999964237213,2016,2,29,0
1839.0,1815.0,102.2279302,395.0,20.4355341293341,20.525598526000977,20.4355341293341,20.525598526000977,16865.099609375,16865.099609375,16865.099609375,16865.099609375,0.14499999582767487,0.14499999582767487,0.14499999582767487,0.14499999582767487,2016,3,1,1
1802.099,1787.0,91.16350729,349.0,20.381494934438773,20.363483428955078,20.363483428955075,20.399508157758,16899.30078125,16899.30078125,16899.30078125,16899.30078125,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,2016,3,2,1
1787.0,1787.9998,144.78112159,492.0,20.60215639662121,20.750762939453125,20.579640722268575,20.750762939453125,16943.900390625,16943.900390625,16943.900390625,16943.900390625,19941.80078125,19941.80078125,19941.80078125,19941.80078125,2016,3,3,0
1773.5381,1719.99999,88.24063577,418.0,20.939894058362405,20.912874221801758,20.858836266516086,20.966913894923053,17006.80078125,17006.80078125,17006.80078125,17006.80078125,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,2016,3,4,1
1719.97999,1724.0,109.6877137,373.0,20.71473428108842,20.759765625,20.69672105638952,20.759765625,17073.900390625,17073.900390625,17073.900390625,17073.900390625,20159.69921875,20159.69921875,20159.69921875,20159.69921875,2016,3,7,0
1721.00021,1711.00144,134.92349017,478.0,20.784985301498324,20.642684936523438,20.642684936523438,20.784985301498324,16964.099609375,16964.099609375,16964.099609375,16964.099609375,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,2016,3,8,1
1711.00097,1720.0,134.14497655,457.0,20.71473514360825,20.70572853088379,20.70572853088379,20.750761594506113,17000.400390625,17000.400390625,17000.400390625,17000.400390625,19996.30078125,19996.30078125,19996.30078125,19996.30078125,2016,3,9,0
1720.0,1701.0,119.54970114,393.0,20.96240855198046,20.60665512084961,20.584139450565427,21.07498862123689,16995.099609375,16995.099609375,16995.099609375,16995.099609375,19984.400390625,19984.400390625,19984.400390625,19984.400390625,2016,3,10,1
